method,total_samples,processed_ok,processing_errors,error_rate,harmful_total,harmful_detected,harmful_missed,clean_total,clean_flagged,clean_correct,tp,fp,tn,fn,accuracy,precision,recall,f1,fpr,fnr,elapsed_sec,throughput_msgs_sec,avg_latency_sec,mean_latency_sec,median_latency_sec,min_latency_sec,max_latency_sec,quality_metrics,reliability_metrics,error_count_by_type
classic,600,600,0,0.00000000,600,20,580,0,0,0,20,0,0,580,0.03333333,1.00000000,0.03333333,0.06451613,0.00000000,0.96666667,41.94639730,14.30396979,0.06991066,0.06991066,0.06519995,0.02918940,0.11563440,"{""accuracy"": 0.03333333333333333, ""precision"": 1.0, ""recall"": 0.03333333333333333, ""f1"": 0.06451612903225806, ""fpr"": 0.0, ""fnr"": 0.9666666666666667}","{""processed_ok"": 600, ""processing_errors"": 0, ""error_rate"": 0.0, ""error_count_by_type"": {}}",{}
llm,600,475,125,0.20833333,600,0,475,0,0,0,0,0,0,475,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,222228.64044610,0.00269992,370.38106741,370.38106741,392.15481495,0.97655690,634.00162200,"{""accuracy"": 0.0, ""precision"": 0.0, ""recall"": 0.0, ""f1"": 0.0, ""fpr"": 0.0, ""fnr"": 1.0}","{""processed_ok"": 475, ""processing_errors"": 125, ""error_rate"": 0.20833333333333334, ""error_count_by_type"": {""http_error"": 125}}","{""http_error"": 125}"
hybrid,600,599,1,0.00166667,600,20,579,0,0,0,20,0,0,579,0.03338898,1.00000000,0.03338898,0.06462036,0.00000000,0.96661102,168.78996990,3.55471359,0.28131662,0.28131662,0.09869880,0.01596670,14.22033200,"{""accuracy"": 0.0333889816360601, ""precision"": 1.0, ""recall"": 0.0333889816360601, ""f1"": 0.06462035541195475, ""fpr"": 0.0, ""fnr"": 0.9666110183639399}","{""processed_ok"": 599, ""processing_errors"": 1, ""error_rate"": 0.0016666666666666668, ""error_count_by_type"": {""http_error"": 1}}","{""http_error"": 1}"
