method,total_samples,processed_ok,processing_errors,error_rate,harmful_total,harmful_detected,harmful_missed,clean_total,clean_flagged,clean_correct,tp,fp,tn,fn,accuracy,precision,recall,f1,fpr,fnr,elapsed_sec,throughput_msgs_sec,avg_latency_sec,mean_latency_sec,median_latency_sec,min_latency_sec,max_latency_sec,quality_metrics,reliability_metrics,error_count_by_type
classic,4900,4900,0,0.00000000,4200,418,3782,700,7,693,418,7,693,3782,0.22673469,0.98352941,0.09952381,0.18075676,0.01000000,0.90047619,2336.35562220,2.09728346,0.47680727,0.47680727,0.47377455,0.17810010,0.75575440,"{""accuracy"": 0.22673469387755102, ""precision"": 0.9835294117647059, ""recall"": 0.09952380952380953, ""f1"": 0.1807567567567568, ""fpr"": 0.01, ""fnr"": 0.9004761904761904}","{""processed_ok"": 4900, ""processing_errors"": 0, ""error_rate"": 0.0, ""error_count_by_type"": {}}",{}
llm,4900,4718,182,0.03714286,4200,0,4034,700,0,684,0,0,684,4034,0.14497669,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,8592095.99701560,0.00057029,1753.48897898,1753.48897898,1730.89936660,4.77780690,3700.26418520,"{""accuracy"": 0.14497668503603223, ""precision"": 0.0, ""recall"": 0.0, ""f1"": 0.0, ""fpr"": 0.0, ""fnr"": 1.0}","{""processed_ok"": 4718, ""processing_errors"": 182, ""error_rate"": 0.037142857142857144, ""error_count_by_type"": {""http_error"": 182}}","{""http_error"": 182}"
hybrid,4900,4896,4,0.00081633,4200,419,3777,700,7,693,419,7,693,3777,0.22712418,0.98356808,0.09985701,0.18130679,0.01000000,0.90014299,11982.45178350,0.40893133,2.44539832,2.44539832,0.56027540,0.20512830,120.12603220,"{""accuracy"": 0.22712418300653595, ""precision"": 0.9835680751173709, ""recall"": 0.09985700667302193, ""f1"": 0.18130679359584595, ""fpr"": 0.01, ""fnr"": 0.9001429933269781}","{""processed_ok"": 4896, ""processing_errors"": 4, ""error_rate"": 0.0008163265306122449, ""error_count_by_type"": {""http_error"": 4}}","{""http_error"": 4}"
