method,total_samples,processed_ok,processing_errors,error_rate,harmful_total,harmful_detected,harmful_missed,clean_total,clean_flagged,clean_correct,tp,fp,tn,fn,accuracy,precision,recall,f1,fpr,fnr,elapsed_sec,throughput_msgs_sec,avg_latency_sec,mean_latency_sec,median_latency_sec,min_latency_sec,max_latency_sec,quality_metrics,reliability_metrics,error_count_by_type
classic,20000,20000,0,0.00000000,17142,1695,15447,2858,19,2839,1695,19,2839,15447,0.22670000,0.98891482,0.09887994,0.17978362,0.00664801,0.90112006,43117.78334230,0.46384574,2.15588917,2.15588917,2.13806355,1.10251870,3.17158840,"{""accuracy"": 0.2267, ""precision"": 0.9889148191365228, ""recall"": 0.09887994399719986, ""f1"": 0.17978362324989394, ""fpr"": 0.006648005598320504, ""fnr"": 0.9011200560028001}","{""processed_ok"": 20000, ""processing_errors"": 0, ""error_rate"": 0.0, ""error_count_by_type"": {}}",{}
hybrid,20000,20000,0,0.00000000,17142,1727,15415,2858,21,2837,1727,21,2837,15415,0.22820000,0.98798627,0.10074670,0.18284807,0.00734780,0.89925330,45324.89471860,0.44125861,2.26624474,2.26624474,2.25037395,1.26799100,3.20903280,"{""accuracy"": 0.2282, ""precision"": 0.9879862700228833, ""recall"": 0.10074670400186676, ""f1"": 0.18284806776072, ""fpr"": 0.00734779566130161, ""fnr"": 0.8992532959981332}","{""processed_ok"": 20000, ""processing_errors"": 0, ""error_rate"": 0.0, ""error_count_by_type"": {}}",{}
